"species","phenology","mixed_cv_r2","mixed_cv_rmse","n_obs","n_trees","gamm_cv_r2","gamm_cv_rmse","gamm_improvement","rmse_improvement","gamm_wins"
"Siberian Elm","Maturity_doy",0.393522011050036,9.51159737254352,2073,328,0.292975810907,10.269987172244,-0.100546200143036,-0.758389799700517,FALSE
"Silver Maple","Maturity_doy",0.17418170449119,9.19845178674268,6142,952,0.360243969734384,8.09612066821765,0.186062265243195,1.10233111852503,TRUE
"Tree of heaven","Maturity_doy",0.349413393025058,9.80761218975499,611,92,0.63699067511233,7.3261231167668,0.287577282087271,2.48148907298819,TRUE
"Western Catalpa","Maturity_doy",0.45304529011829,10.623067460962,377,60,0.58233256736546,9.28168445900842,0.12928727724717,1.34138300195354,TRUE
"American Elm","Senescence_doy",0.475491799733793,10.0272606872908,2032,313,0.384168023817943,10.8651555380044,-0.0913237759158502,-0.837894850713576,FALSE
"American Linden","Senescence_doy",0.488729861443143,9.84106163696264,532,83,0.277757098085714,11.697685175877,-0.210972763357429,-1.85662353891438,FALSE
"Common Hackberry","Senescence_doy",0.443688054806748,13.2186283644265,1566,237,0.367487268649188,14.09437210427,-0.0762007861575603,-0.875743739843498,FALSE
"Eastern Cottonwood","Senescence_doy",0.520920588131447,12.1546551580922,1647,248,0.457608328503334,12.9325274324984,-0.0633122596281132,-0.777872274406151,FALSE
"Green Ash","Senescence_doy",0.390561390695744,11.3622634921862,3239,495,0.336479941951899,11.8557052803205,-0.054081448743845,-0.493441788134296,FALSE
"Honey Locust","Senescence_doy",0.517017571146703,10.4537118510591,2214,343,0.374662568861557,11.8951250845729,-0.142355002285146,-1.44141323351381,FALSE
"Northern Red Oak","Senescence_doy",0.415676768395256,10.6629723519025,558,86,0.383025789839876,10.9584147233009,-0.0326509785553801,-0.295442371398362,FALSE
"Plains Cottonwood","Senescence_doy",0.483202199128889,13.6657701171842,1475,230,0.387557318215923,14.8765790688561,-0.0956448809129655,-1.21080895167196,FALSE
"Siberian Elm","Senescence_doy",0.483277532905997,13.4070039781859,2073,328,0.505520610766664,13.1152360686739,0.022243077860667,0.291767909511989,TRUE
"Silver Maple","Senescence_doy",0.515183476114824,11.2947775946145,6142,952,0.377179300195649,12.8017520346542,-0.138004175919175,-1.50697444003971,FALSE
"Tree of heaven","Senescence_doy",0.428041996900515,12.6103461342108,611,92,0.464339475932664,12.2026992088289,0.0362974790321489,0.40764692538192,TRUE
"Western Catalpa","Senescence_doy",0.489545111414839,11.7278035209843,377,60,0.473774634198947,11.9077745123523,-0.0157704772158919,-0.179970991367979,FALSE
"American Elm","Dormancy_doy",0.356192792725447,15.4424978798518,2032,313,0.411269252508163,14.7668627436122,0.0550764597827159,0.675635136239604,TRUE
"American Linden","Dormancy_doy",0.398641149329856,14.7080221127691,532,83,0.41546289212997,14.4954772315093,0.0168217428001148,0.212544881259811,TRUE
"Common Hackberry","Dormancy_doy",0.409794483854968,13.1167900322359,1566,237,0.370922832943006,13.5424149510076,-0.0388716509119619,-0.425624918771703,FALSE
"Eastern Cottonwood","Dormancy_doy",0.253586704062366,14.4028022915431,1647,248,0.204606604048892,14.8677638813963,-0.0489801000134742,-0.464961589853196,FALSE
"Green Ash","Dormancy_doy",0.361189490467519,16.7346914973154,3239,495,0.356909386670079,16.7907369399292,-0.00428010379743937,-0.0560454426138186,FALSE
"Honey Locust","Dormancy_doy",0.355922776778799,13.8633054046063,2214,343,0.314485633219177,14.3021462688139,-0.0414371435596219,-0.438840864207595,FALSE
"Northern Red Oak","Dormancy_doy",0.27897028817948,13.8196465342926,558,86,0.261947545088796,13.9839142376398,-0.017022743090684,-0.164267703347177,FALSE
"Plains Cottonwood","Dormancy_doy",0.350390451773516,14.9814552896439,1475,230,0.0652069698471119,17.9745889632068,-0.285183481926404,-2.99313367356292,FALSE
