"UID","class_1","class_2","class_5","class_6","class_7","class_4","class_3","class_9","class_8"
135,0.253163862104254,0.341617936347897,0.203026601105214,0.184705278779735,0.0174863216628998,0,0,0,0
136,0.099111861257747,0.221661809775477,0.354872290758365,0.296049319863543,0.00305019763139,0,0.0252545207134771,0,0
137,0.290214946862239,0.451986308356132,0.117039341504658,0.11599687663298,0.0247625266439906,0,0,0,0
138,0.0725261547486,0.219620636349527,0.266189386455549,0.0355286988517127,0.012625908447704,0.290089640445096,0.103419574701812,0,0
139,0.159862907381295,0.336098252143701,0.209326352523067,0.273126619242204,0.0215858687097332,0,0,0,0
140,0.207641050491976,0.288936045605056,0.240555131152101,0.244484032122363,0.0183837406285046,0,0,0,0
141,0.272221999308652,0.245263245636826,0.315346127562259,0.15343021413018,0.0137384133620838,0,0,0,0
142,0.206210287793602,0.151979951780886,0.492184294902212,0.147579645875113,0.00204581964818566,0,0,0,0
143,0.197407392068471,0.198788390397511,0.411145808731286,0.177188516331674,0.015469892471059,0,0,0,0
144,0.155067402902538,0.279000871510384,0.31774667230795,0.24215937572992,0.00602567754920783,0,0,0,0
145,0.140415501107752,0.295566542936524,0.231868065244742,0.288546646081097,0.0436032446298852,0,0,0,0
146,0.258200545760316,0.314897168507114,0.242930329767847,0.179777443054773,0.00419451290994968,0,0,0,0
147,0.144227523674433,0.180208892975855,0.261171144635008,0.409172417449134,0.00522002126556998,0,0,0,0
148,0.18995842763643,0.323189383463213,0.202746041504845,0.246738149202819,0.037367998192693,0,0,0,0
149,0.0594716581037857,0.1766574575366,0.498089034008715,0.265781850350899,0,0,0,0,0
150,0.119454339209846,0.24638843304386,0.352495976945228,0.27372915255735,0.00793209824371562,0,0,0,0
151,0.0120471071093224,0.108412722105958,0.203161840183994,0.662746421382454,0.0136319092182726,0,0,0,0
152,0.253405970487203,0.210442245094434,0.342427248904745,0.191003334405714,0.00272120110790468,0,0,0,0
153,0.187649956415063,0.201164105361388,0.413309507922828,0.195408881452802,0.00246754884791831,0,0,0,0
154,0.15482926751904,0.235628177814448,0.48625142341876,0.123291131247752,0,0,0,0,0
155,0.01710440519316,0.294403465826899,0.228092479988029,0.0332395321402867,0.020510988020911,0.406649128830715,0,0,0
156,0.0465925633886997,0.375576208916098,0.244506156296159,0.331797642019275,0.0015274293797687,0,0,0,0
157,0.257780291407143,0.273625405137626,0.255908692317719,0.203147976835024,0.00953763430248805,0,0,0,0
158,0.111519846044274,0.221781224560388,0.282656762783143,0.36545312883777,0.0185890377744248,0,0,0,0
159,0.2412761197778,0.231508886861941,0.25735402199149,0.261674376985041,0.0081865943837279,0,0,0,0
160,0.213835054713927,0.335580432014214,0.219358322248073,0.218733062217257,0.0124931288065292,0,0,0,0
161,0.0654074269809922,0.274578980722567,0.353089976269739,0.300417616189879,0.00650599983682271,0,0,0,0
