,date,time,pss4_instrument
389,8/9/2020,175813,105e
390,8/10/2020,173448,1026
391,8/11/2020,172934,1008
392,8/12/2020,151507,104a
393,8/13/2020,173000,1039
394,8/14/2020,170129,2212
395,8/15/2020,151323,1053
396,8/16/2020,172441,106a
397,8/17/2020,172645,1069
398,8/18/2020,172820,1004
399,8/19/2020,172924,0f25
400,8/20/2020,151020,1053
401,8/20/2020,172506,106a
402,8/21/2020,172711,1069
403,8/22/2020,174202,105c
404,8/23/2020,172334,106d
405,8/24/2020,172627,1038
406,8/27/2020,172357,106d
407,8/27/2020,173117,1002
408,8/30/2020,172948,1006
409,9/1/2020,172608,106a
410,9/1/2020,172819,1003
411,9/3/2020,172142,1062
412,9/5/2020,172625,106a
413,9/6/2020,175612,241c
414,9/7/2020,172912,101b
415,9/11/2020,170133,2257
416,9/12/2020,172429,106d
417,9/13/2020,172727,1001
418,9/14/2020,172659,1027
419,9/15/2020,172225,1062
420,9/16/2020,172422,106d
421,9/16/2020,173058,0f22
422,9/17/2020,170326,2235
423,9/18/2020,180015,1061
424,9/19/2020,172238,1062
425,9/22/2020,170311,222b
426,9/28/2020,172955,1009
427,9/29/2020,175405,2419
428,10/3/2020,170511,2304
429,10/3/2020,172637,1039
430,10/4/2020,150436,1054
431,10/5/2020,150220,1048
432,10/7/2020,170508,2257
433,10/8/2020,170834,2304
434,10/9/2020,170614,2277
435,10/9/2020,172251,1062
436,10/10/2020,175353,227a
437,10/11/2020,172955,1012
438,10/12/2020,172915,1006
439,10/13/2020,180337,105a
440,10/14/2020,170235,2235
441,10/15/2020,172725,1012
442,10/24/2020,172928,0f34
443,10/29/2020,170311,2304
444,10/29/2020,172123,1062
445,10/30/2020,175637,2414
446,11/12/2020,170915,227e
447,11/13/2020,175452,2408
448,11/15/2020,175455,2413
449,11/16/2020,180332,1066
450,11/17/2020,172956,1032
451,11/19/2020,173019,1011
452,11/20/2020,175146,2408
453,11/22/2020,173040,1005
454,11/23/2020,172711,1011
455,12/5/2020,170420,225a
456,12/6/2020,172804,1014
457,12/7/2020,175252,2406
458,12/8/2020,170551,2280
459,12/9/2020,180222,1058
460,12/21/2020,170720,2276
461,12/22/2020,180620,105d
462,12/25/2020,170948,225a
463,12/25/2020,175454,227b
464,12/26/2020,172822,0f22
465,12/27/2020,171757,1062
466,1/2/2021,173002,1038
467,1/3/2021,180647,105e
468,1/4/2021,175238,2405
469,1/5/2021,171604,106e
470,1/6/2021,175355,2408
471,1/8/2021,172812,0f31
472,1/11/2021,173044,1002
473,1/15/2021,170750,2276
474,1/16/2021,175014,227b
475,1/17/2021,172951,1008
476,1/19/2021,172859,0f4e
477,1/20/2021,175234,241c
478,1/22/2021,172835,1009
479,1/23/2021,171717,1062
480,1/24/2021,175544,2412
481,1/25/2021,175329,2413
482,1/30/2021,170315,2212
483,2/2/2021,175009,2408
484,2/2/2021,175118,2406
485,2/3/2021,175348,2274
486,2/7/2021,175257,2416
487,2/8/2021,175310,2413
488,2/9/2021,175151,2406
489,2/11/2021,175437,2402
490,2/16/2021,171409,106d
491,2/20/2021,175224,241c
492,2/22/2021,175210,2413
493,2/23/2021,175136,2412
494,3/5/2021,170813,2441
495,3/6/2021,171009,227e
496,3/9/2021,180615,1066
497,3/11/2021,165957,220b
498,3/27/2021,170027,2460
499,3/29/2021,175222,2407
500,4/1/2021,170338,2421
501,4/1/2021,174803,225b
502,4/3/2021,170850,2251
503,4/4/2021,143009,0f21
504,4/5/2021,172908,0f4e
505,4/6/2021,170649,2441
506,4/7/2021,175020,2414
507,4/8/2021,175051,240c
508,4/9/2021,143154,0f32
509,4/10/2021,165930,2421
510,4/11/2021,171228,1065
511,4/13/2021,175057,2412
512,4/18/2021,143132,0f36
513,4/23/2021,175048,2401
514,4/24/2021,165841,2429
515,4/25/2021,170623,2441
516,4/29/2021,142745,0f21
517,4/29/2021,175035,2408
518,5/1/2021,142646,0f2b
519,5/2/2021,142807,0f44
520,5/4/2021,170126,2456
521,5/5/2021,142928,104a
522,5/6/2021,173308,105c
523,5/7/2021,142648,1049
524,5/12/2021,165908,2451
525,5/13/2021,175034,241c
526,5/14/2021,142534,104b
527,5/19/2021,170307,2235
528,5/20/2021,170747,2441
529,5/22/2021,142353,0f36
530,5/23/2021,142458,104b
531,5/24/2021,170901,2276
532,5/25/2021,142601,1049
533,5/27/2021,181131,1064
534,5/28/2021,175127,2426
535,5/29/2021,170738,2262
536,6/8/2021,171122,2251
537,6/9/2021,170154,2432
538,6/10/2021,175214,2403
539,6/11/2021,171119,2276
540,6/12/2021,175011,2407
541,6/13/2021,174439,225b
542,6/14/2021,171057,2251
543,6/15/2021,172421,1025
544,6/17/2021,174954,2403
545,6/17/2021,175114,2414
546,6/20/2021,170635,106d
547,6/20/2021,171026,2251
548,6/25/2021,171001,2233
549,6/28/2021,142015,1050
550,7/9/2021,174634,2407
551,7/10/2021,165801,241e
552,7/11/2021,165915,2436
553,7/13/2021,181326,105a
554,7/15/2021,170057,2212
555,7/16/2021,173301,105c
556,7/17/2021,171224,2276
557,7/18/2021,170116,241e
558,7/18/2021,175027,227c
559,7/20/2021,165936,2440
560,7/21/2021,165843,2421
561,7/22/2021,165936,242b
562,7/23/2021,171020,2231
563,7/25/2021,175139,2426
564,7/26/2021,174430,2307
565,7/27/2021,170712,2441
566,7/28/2021,174506,227c
567,7/29/2021,170822,2233
568,7/30/2021,165910,2463
569,8/11/2021,174756,2407
570,8/12/2021,171037,227e
571,8/13/2021,174828,2416
572,8/14/2021,172631,1034
573,8/15/2021,174520,240c
574,8/16/2021,170034,2455
575,8/16/2021,171200,2231
576,8/17/2021,174733,2403
577,8/18/2021,170219,106e
578,8/20/2021,170137,241e
579,8/21/2021,165802,2439
580,8/22/2021,170545,1065
581,8/23/2021,141240,0f36
582,8/24/2021,165534,2460
583,8/25/2021,165616,2455
584,8/26/2021,174340,2419
585,8/28/2021,170100,245d
586,8/29/2021,174703,2413
587,8/30/2021,171017,2251
588,9/16/2021,172642,1034
589,9/18/2021,165841,2423
590,9/19/2021,181531,1058
591,9/20/2021,170115,1065
592,9/21/2021,165716,2453
593,9/22/2021,174642,2416
594,9/23/2021,172608,1012
595,9/24/2021,174941,2402
596,9/25/2021,174226,2419
597,9/26/2021,165601,2457
598,9/27/2021,172520,1034
599,9/28/2021,172801,0f15
600,9/29/2021,172544,101f
601,10/9/2021,171116,227e
602,10/10/2021,170830,2251
603,10/11/2021,165542,2440
604,10/13/2021,174738,2402
605,10/14/2021,165650,2427
606,10/15/2021,174740,2407
607,10/16/2021,174529,2406
608,10/17/2021,165645,245c
609,10/18/2021,170745,2262
610,10/20/2021,174635,227c
611,10/22/2021,174545,2274
612,10/26/2021,170118,106a
613,10/27/2021,181840,1064
614,10/28/2021,172228,101f
615,10/29/2021,174806,2414
616,10/30/2021,174351,240c
617,11/7/2021,165845,2206
618,11/7/2021,174708,2402
619,11/8/2021,170019,2235
620,11/9/2021,170105,106a
621,11/10/2021,174809,2426
622,11/11/2021,165635,2439
623,11/11/2021,174548,2424
624,11/12/2021,174356,2307
625,11/14/2021,174711,2405
626,11/15/2021,165755,2206
627,11/17/2021,172343,1008
628,11/18/2021,165854,241e
629,11/21/2021,174054,2424
630,11/23/2021,174632,2403
631,11/25/2021,165628,2455
632,11/26/2021,174556,2413
633,11/27/2021,165844,2439
634,11/28/2021,174804,2407
635,11/29/2021,174047,227a
636,12/2/2021,165227,2423
637,12/3/2021,172507,1025
638,12/4/2021,170935,222f
639,12/7/2021,165505,2440
640,12/14/2021,174632,2402
641,12/16/2021,174031,2254
642,12/17/2021,172235,100c
643,12/18/2021,170738,2251
644,12/19/2021,174315,2424
645,12/20/2021,174311,2307
646,12/21/2021,172203,1005
647,12/23/2021,165635,2440
648,12/25/2021,171210,2231
649,12/26/2021,165535,2423
650,12/27/2021,174240,227a
651,12/28/2021,165428,2429
652,12/29/2021,165251,2445
653,12/30/2021,165256,2435
654,1/13/2022,174445,2274
655,1/15/2022,171102,2251
656,1/17/2022,165515,2449
657,1/20/2022,172424,0f17
658,1/22/2022,165412,2431
659,1/24/2022,165608,2442
660,2/14/2022,165114,2451
661,3/1/2022,172458,2475
662,3/3/2022,171150,2233
663,3/12/2022,174417,240c
664,3/13/2022,172119,24a5
665,3/14/2022,173754,227b
666,3/15/2022,164938,2463
667,3/23/2022,174049,2414
668,3/25/2022,165507,2436
669,3/30/2022,165330,245d
670,4/2/2022,174144,2407
671,4/4/2022,172241,24a4
672,4/5/2022,171941,1013
673,4/6/2022,172253,2478
674,4/8/2022,174035,2426
675,4/10/2022,165434,2442
