species,phenology,irrigated_90m,late_winter_temp,impervious_90m,late_winter_prcp_days,late_winter_mean_tmax,late_winter_prcp,tree_canopy_90m,unirrigated_90m,water_90m,late_spring_prcp_days,spring_prcp,late_spring_temp,late_spring_mean_tmax,early_fall_mean_tmax,late_summer_prcp_days,late_summer_mean_tmax,late_summer_temp,late_summer_prcp,early_fall_temp,fall_cumulative_prcp,late_fall_temp,fall_prcp_days,fall_mean_tmax
American Linden,Dormancy_doy,0.227,NA,0.224,NA,NA,NA,0.136,0.198,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.089,0.073,0.021,0.023
Common Hackberry,Dormancy_doy,0.207,NA,0.203,NA,NA,NA,0.192,0.138,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.066,0.064,0.037,0.074
Eastern Cottonwood,Dormancy_doy,0.159,NA,0.123,NA,NA,NA,0.115,0.223,0.044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.195,0.053,0.056,0.031
Green Ash,Dormancy_doy,0.153,NA,0.235,NA,NA,NA,0.103,0.08,0.038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.137,0.136,0.048,0.069
Honey Locust,Dormancy_doy,0.193,NA,0.178,NA,NA,NA,0.14,0.136,0.049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.092,0.13,0.025,0.057
Littleleaf Linden,Dormancy_doy,0.221,NA,0.196,NA,NA,NA,0.18,0.193,0.006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.047,0.113,0.014,0.029
Northern Red Oak,Dormancy_doy,0.169,NA,0.167,NA,NA,NA,0.119,0.14,0.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.123,0.134,0.054,0.042
Plains Cottonwood,Dormancy_doy,0.235,NA,0.119,NA,NA,NA,0.131,0.181,0.069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.103,0.072,0.059,0.029
Siberian Elm,Dormancy_doy,0.153,NA,0.086,NA,NA,NA,0.133,0.1,0.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.097,0.024,0.054
Silver Maple,Dormancy_doy,0.088,NA,0.056,NA,NA,NA,0.066,0.066,0.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.201,0.483,0.019,0.012
Tree of heaven,Dormancy_doy,0.132,NA,0.144,NA,NA,NA,0.198,0.134,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.263,0.054,0.029,0.029
Western Catalpa,Dormancy_doy,0.18,NA,0.245,NA,NA,NA,0.164,0.152,0.012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.147,0.044,0.029,0.027
